SITE_ID,atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
NYU,dos160,graph_level,average_degree,pca_10,RF,0.5857142857142856,0.42857142857142855
NYU,dos160,graph_level,average_degree,pca_10,XGB,0.5428571428571429,0.42857142857142855
NYU,dos160,graph_level,average_degree,pca_10,LGBM,0.5785714285714285,0.5142857142857142
NYU,dos160,graph_level,average_degree,pca_10,SVM,0.5571428571428572,0.5142857142857142
NYU,dos160,graph_level,average_degree,pca_10,MLP,0.5714285714285714,0.45714285714285713
NYU,multi,node_based,degree,original,LR,0.5285714285714286,0.6
NYU,multi,node_based,degree,original,DT,0.5,0.6
NYU,multi,node_based,degree,original,RF,0.6142857142857143,0.5142857142857142
NYU,multi,node_based,degree,original,XGB,0.5285714285714286,0.6285714285714286
NYU,multi,node_based,degree,original,LGBM,0.5571428571428572,0.6285714285714286
NYU,multi,node_based,degree,original,SVM,0.5571428571428572,0.5428571428571428
NYU,multi,node_based,degree,original,MLP,0.45,0.5714285714285714
NYU,multi,node_based,degree,mi_10,LR,0.6285714285714284,0.6
NYU,multi,node_based,degree,mi_10,DT,0.4785714285714285,0.45714285714285713
NYU,multi,node_based,degree,mi_10,RF,0.6714285714285714,0.5142857142857142
NYU,multi,node_based,degree,mi_10,XGB,0.6214285714285714,0.5428571428571428
NYU,multi,node_based,degree,mi_10,LGBM,0.6357142857142857,0.5714285714285714
NYU,multi,node_based,degree,mi_10,SVM,0.6071428571428571,0.5714285714285714
NYU,multi,node_based,degree,mi_10,MLP,0.6357142857142857,0.7428571428571429
NYU,multi,node_based,degree,pca_10,LR,0.5571428571428572,0.6
NYU,multi,node_based,degree,pca_10,DT,0.4714285714285714,0.4857142857142857
NYU,multi,node_based,degree,pca_10,RF,0.5571428571428572,0.6
NYU,multi,node_based,degree,pca_10,XGB,0.4928571428571429,0.5714285714285714
NYU,multi,node_based,degree,pca_10,LGBM,0.5357142857142857,0.6
NYU,multi,node_based,degree,pca_10,SVM,0.6,0.5714285714285714
NYU,multi,node_based,degree,pca_10,MLP,0.5142857142857142,0.5714285714285714
NYU,multi,edge_based,average_degree,original,LR,0.43571428571428567,0.7142857142857143
NYU,multi,edge_based,average_degree,original,DT,0.5428571428571429,0.5428571428571428
NYU,multi,edge_based,average_degree,original,RF,0.5214285714285715,0.5714285714285714
NYU,multi,edge_based,average_degree,original,XGB,0.46428571428571425,0.5428571428571428
NYU,multi,edge_based,average_degree,original,LGBM,0.4428571428571429,0.6
NYU,multi,edge_based,average_degree,original,SVM,0.6,0.45714285714285713
NYU,multi,edge_based,average_degree,original,MLP,0.42142857142857143,0.6285714285714286
NYU,multi,edge_based,average_degree,mi_10,LR,0.47142857142857136,0.5714285714285714
NYU,multi,edge_based,average_degree,mi_10,DT,0.48571428571428577,0.5142857142857142
NYU,multi,edge_based,average_degree,mi_10,RF,0.4928571428571429,0.5142857142857142
NYU,multi,edge_based,average_degree,mi_10,XGB,0.5,0.6571428571428571
NYU,multi,edge_based,average_degree,mi_10,LGBM,0.5142857142857142,0.5142857142857142
NYU,multi,edge_based,average_degree,mi_10,SVM,0.6,0.45714285714285713
NYU,multi,edge_based,average_degree,mi_10,MLP,0.46428571428571425,0.5714285714285714
NYU,multi,edge_based,average_degree,pca_10,LR,0.55,0.5142857142857142
NYU,multi,edge_based,average_degree,pca_10,DT,0.46428571428571425,0.5714285714285714
NYU,multi,edge_based,average_degree,pca_10,RF,0.55,0.4
NYU,multi,edge_based,average_degree,pca_10,XGB,0.5,0.5428571428571428
NYU,multi,edge_based,average_degree,pca_10,LGBM,0.48571428571428565,0.5714285714285714
NYU,multi,edge_based,average_degree,pca_10,SVM,0.5571428571428572,0.4857142857142857
NYU,multi,edge_based,average_degree,pca_10,MLP,0.5642857142857143,0.5428571428571428
NYU,multi,graph_level,average_degree,original,LR,0.65,0.4857142857142857
NYU,multi,graph_level,average_degree,original,DT,0.5357142857142857,0.5714285714285714
NYU,multi,graph_level,average_degree,original,RF,0.5714285714285714,0.5142857142857142
NYU,multi,graph_level,average_degree,original,XGB,0.49285714285714277,0.4857142857142857
NYU,multi,graph_level,average_degree,original,LGBM,0.47857142857142854,0.45714285714285713
NYU,multi,graph_level,average_degree,original,SVM,0.6,0.45714285714285713
NYU,multi,graph_level,average_degree,original,MLP,0.6714285714285715,0.4857142857142857
NYU,multi,graph_level,average_degree,mi_10,LR,0.5,0.4
NYU,multi,graph_level,average_degree,mi_10,DT,0.6,0.45714285714285713
NYU,multi,graph_level,average_degree,mi_10,RF,0.5785714285714286,0.45714285714285713
NYU,multi,graph_level,average_degree,mi_10,XGB,0.5642857142857143,0.4
NYU,multi,graph_level,average_degree,mi_10,LGBM,0.5571428571428572,0.45714285714285713
NYU,multi,graph_level,average_degree,mi_10,SVM,0.5857142857142857,0.45714285714285713
NYU,multi,graph_level,average_degree,mi_10,MLP,0.5357142857142858,0.42857142857142855
NYU,multi,graph_level,average_degree,pca_10,LR,0.6,0.5142857142857142
NYU,multi,graph_level,average_degree,pca_10,DT,0.6,0.5714285714285714
NYU,multi,graph_level,average_degree,pca_10,RF,0.6285714285714284,0.5714285714285714
NYU,multi,graph_level,average_degree,pca_10,XGB,0.6428571428571428,0.5142857142857142
NYU,multi,graph_level,average_degree,pca_10,LGBM,0.6,0.6
NYU,multi,graph_level,average_degree,pca_10,SVM,0.6,0.42857142857142855
NYU,multi,graph_level,average_degree,pca_10,MLP,0.6428571428571428,0.5714285714285714
YALE,cc200,node_based,degree,original,LR,0.3888888888888889,0.5
YALE,cc200,node_based,degree,original,DT,0.45555555555555555,0.5
YALE,cc200,node_based,degree,original,RF,0.45555555555555555,0.4166666666666667
YALE,cc200,node_based,degree,original,XGB,0.47777777777777775,0.75
YALE,cc200,node_based,degree,original,LGBM,0.5444444444444445,0.6666666666666666
YALE,cc200,node_based,degree,original,SVM,0.5,0.3333333333333333
YALE,cc200,node_based,degree,original,MLP,0.6138888888888889,0.5
YALE,cc200,node_based,degree,mi_10,LR,0.6083333333333333,0.4166666666666667
YALE,cc200,node_based,degree,mi_10,DT,0.7083333333333334,0.6666666666666666
YALE,cc200,node_based,degree,mi_10,RF,0.8194444444444443,0.6666666666666666
YALE,cc200,node_based,degree,mi_10,XGB,0.7277777777777777,0.6666666666666666
YALE,cc200,node_based,degree,mi_10,LGBM,0.5444444444444445,0.6666666666666666
YALE,cc200,node_based,degree,mi_10,SVM,0.6333333333333333,0.5
YALE,cc200,node_based,degree,mi_10,MLP,0.5861111111111111,0.75
YALE,cc200,node_based,degree,pca_10,LR,0.538888888888889,0.5
YALE,cc200,node_based,degree,pca_10,DT,0.6138888888888889,0.75
YALE,cc200,node_based,degree,pca_10,RF,0.5638888888888889,0.6666666666666666
YALE,cc200,node_based,degree,pca_10,XGB,0.5694444444444444,0.5833333333333334
YALE,cc200,node_based,degree,pca_10,LGBM,0.5444444444444445,0.5
YALE,cc200,node_based,degree,pca_10,SVM,0.5194444444444445,0.3333333333333333
YALE,cc200,node_based,degree,pca_10,MLP,0.5361111111111111,0.6666666666666666
YALE,cc200,edge_based,average_degree,original,LR,0.5444444444444445,0.4166666666666667
YALE,cc200,edge_based,average_degree,original,DT,0.4111111111111111,0.5833333333333334
YALE,cc200,edge_based,average_degree,original,RF,0.43611111111111106,0.5833333333333334
YALE,cc200,edge_based,average_degree,original,XGB,0.4305555555555555,0.5833333333333334
YALE,cc200,edge_based,average_degree,original,LGBM,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,original,SVM,0.5222222222222223,0.3333333333333333
YALE,cc200,edge_based,average_degree,original,MLP,0.4305555555555555,0.5
YALE,cc200,edge_based,average_degree,mi_10,LR,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,DT,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,RF,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,XGB,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,LGBM,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,SVM,0.5444444444444445,0.3333333333333333
YALE,cc200,edge_based,average_degree,mi_10,MLP,0.5222222222222223,0.3333333333333333
YALE,cc200,edge_based,average_degree,pca_10,LR,0.5194444444444445,0.4166666666666667
YALE,cc200,edge_based,average_degree,pca_10,DT,0.47777777777777775,0.5
YALE,cc200,edge_based,average_degree,pca_10,RF,0.4305555555555555,0.4166666666666667
YALE,cc200,edge_based,average_degree,pca_10,XGB,0.4527777777777778,0.4166666666666667
YALE,cc200,edge_based,average_degree,pca_10,LGBM,0.5444444444444445,0.5833333333333334
YALE,cc200,edge_based,average_degree,pca_10,SVM,0.5,0.16666666666666666
YALE,cc200,edge_based,average_degree,pca_10,MLP,0.45,0.5
YALE,cc200,graph_level,average_degree,original,LR,0.5666666666666667,0.3333333333333333
YALE,cc200,graph_level,average_degree,original,DT,0.5666666666666667,0.6666666666666666
YALE,cc200,graph_level,average_degree,original,RF,0.3416666666666667,0.4166666666666667
YALE,cc200,graph_level,average_degree,original,XGB,0.475,0.6666666666666666
YALE,cc200,graph_level,average_degree,original,LGBM,0.5444444444444445,0.5
YALE,cc200,graph_level,average_degree,original,SVM,0.47777777777777786,0.3333333333333333
YALE,cc200,graph_level,average_degree,original,MLP,0.5222222222222223,0.16666666666666666
YALE,cc200,graph_level,average_degree,mi_10,LR,0.5,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,DT,0.5444444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,RF,0.5222222222222223,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,XGB,0.5,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,LGBM,0.5444444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,SVM,0.5444444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,mi_10,MLP,0.5444444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,pca_10,LR,0.47777777777777775,0.5833333333333334
YALE,cc200,graph_level,average_degree,pca_10,DT,0.4305555555555555,0.5
YALE,cc200,graph_level,average_degree,pca_10,RF,0.5194444444444445,0.4166666666666667
YALE,cc200,graph_level,average_degree,pca_10,XGB,0.4305555555555555,0.4166666666666667
YALE,cc200,graph_level,average_degree,pca_10,LGBM,0.5444444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,pca_10,SVM,0.5194444444444445,0.3333333333333333
YALE,cc200,graph_level,average_degree,pca_10,MLP,0.5916666666666666,0.5
YALE,aal,node_based,degree,original,LR,0.4805555555555555,0.4166666666666667
YALE,aal,node_based,degree,original,DT,0.33611111111111114,0.25
YALE,aal,node_based,degree,original,RF,0.47777777777777786,0.5
YALE,aal,node_based,degree,original,XGB,0.25,0.5
